City,County,Population (2021)[3],Population (2011)[4],Population (2002),Elevation (m),Year statusgranted (a) orfirst attested (b),Image
Livada,Satu Mare,"5,892","6,773","7,004",,2006a,
Însurăței,Brăila,"5,870","6,528","7,501",,1989a,
Frasin,Suceava,"5,817","5,876","6,532",,2004a,
Săliște,Sibiu,"5,710","5,421","6,092",,2003a,
Brezoi,Vâlcea,"5,696","6,022","7,589",320,1575b/1968a[5],
Deta,Timiș,"5,670","6,260","6,423",,1810a/1968a,
Anina,Caraș-Severin,"5,521","7,485","10,594",645–780,1952a,
Gătaia,Timiș,"5,473","5,861","8,103",,2004a,
Ciacova,Timiș,"5,434","5,348","7,285",84,1335b/2004a,
Bălan,Harghita,"5,414","6,115","9,295",950–1000,1968a,
Miercurea Nirajului,Mureș,"5,414","5,554","5,824",,2003a,
Sebiș,Arad,"5,410","5,979","6,829",,,
Ștei,Bihor,"5,398","6,529","9,466",,1956a,
Novaci,Gorj,"5,276","5,431","6,151",,1968a,
Potcoava,Olt,"5,229","5,743","6,111",,2004a,
Broșteni,Suceava,"5,179","5,506","6,603",640,2004a,
Geoagiu,Hunedoara,"5,087","5,294","6,290",,2000a,
Vânju Mare,Mehedinți,"5,078","5,311","7,074",,1968a,
Ștefănești,Botoșani,"5,032","5,314","5,628",,2004a,
Rupea,Brașov,"4,907","5,269","6,246",,1951a,
Sângeorgiu de Pădure,Mureș,"4,875","5,166","5,492",,2003a,
Săliștea de Sus,Maramureș,"4,856","4,893","5,196",,1365b/2004a,
Slănic,Prahova,"4,669","6,034","7,249",,1892a,
Milișăuți,Suceava,"4,657","5,005","8,433",,2004a,
Fierbinți-Târg,Ialomița,"4,620","4,969","5,253",,2004a,
Negru Vodă,Constanța,"4,616","5,088","5,529",,,
Copșa Mică,Sibiu,"4,570","5,404","5,157",287,1402b/1961a[5],
Baia de Aramă,Mehedinți,"4,478","5,349","5,724",275,1968a,
Isaccea,Tulcea,"4,408","5,026","5,374",,,
Abrud,Alba,"4,360","5,072","6,803",600–777,106–275 (as Abruttus/Alburnus Minor); 1271b (as Abruth/terra Obruth)[5],
Bechet,Dolj,"4,355","3,657","3,864",15,2004a,
Cavnic,Maramureș,"4,264","4,976","5,494",650–700,1968a,
Bălcești,Vâlcea,"4,235","4,864","5,780",170,2002a,
Berbești,Vâlcea,"4,231","4,836","5,704",340–350,2003a,
Bucecea,Botoșani,"4,171","4,274","5,128",268,1434b/2004a,
Predeal,Brașov,"4,020","4,755","5,615",1030,1935a,
Slănic Moldova,Bacău,"4,011","4,198","5,375",,,
Țicleni,Gorj,"3,934","4,414","5,205",,1968a,
Azuga,Prahova,"3,901","4,440","6,119",895–950,1948a,
Băile Herculane,Caraș-Severin,"3,787","5,008","6,051",160,153b (as Aquae Herculis); 1951a[5],
Băile Olănești,Vâlcea,"3,750","4,186","4,814",430–475,1527b[5],
Miercurea Sibiului,Sibiu,"3,619","3,910","4,063",,2004a,
Ocna Sibiului,Sibiu,"3,434","3,562","4,184",,,
Aninoasa,Hunedoara,"3,369","4,360","6,108",650,1989a,
Dragomirești,Maramureș,"3,154","3,213","3,132",,2004a,
Ocnele Mari,Vâlcea,"3,134","3,309","3,591",,1960a,
Sulina,Tulcea,"3,118","3,663","5,140",,,
Baia de Arieș,Alba,"3,035","3,461","4,877",495–1256[8],1998a,
Căzănești,Ialomița,"2,938","3,271","3,641",17,2004a,
Berești,Galați,"2,473","2,916","3,926",140,1968a,
Solca,Suceava,"2,405","2,188","4,687",,1926a,
Borsec,Harghita,"2,391","2,585","3,109",860–880,1956a,
Băile Govora,Vâlcea,"2,158","2,449","3,147",360–380,1927a,
Vașcău,Bihor,"2,025","2,315","3,032",,1956a,
Nucet,Bihor,"1,987","2,165","2,851",,1956a,
Băile Tușnad,Harghita,"1,372","1,641","1,802",650,1968a,
